date,Ydc,Yac
2023-11-01,26.32311978,25.34818942
2023-11-02,93.59331476,91.64345404
2023-11-03,79.94428969,77.99442897
2023-11-04,321.7270195,314.902507
2023-11-05,58.49582173,56.545961
2023-11-06,353.823675157669,346.999162657669
2023-11-07,590.33870496135,578.606217001227
2023-11-08,582.834048208589,571.101560248466
2023-11-09,567.092468846012,555.35998088589
2023-11-10,530.173282992638,519.054291965031
2023-11-11,491.965582647853,481.821521920245
2023-11-12,487.209699772393,477.679135977301
2023-11-13,463.920740974847,454.390177179755
2023-11-14,475.106379322699,464.962318595092
2023-11-15,409.833039933129,401.529470103068
2023-11-16,310.599483915951,304.24577468589
2023-11-17,388.665686930061,380.471486902454
2023-11-18,453.457969461963,444.902336066871
2023-11-19,457.843019947853,448.673889620245
2023-11-20,327.305740190798,320.229164125767
2023-11-21,168.050310163129,164.259958645583
2023-11-22,416.910470463804,408.102773503681
2023-11-23,542.62863778773,530.896149827607
2023-11-24,503.151220995706,492.393663335583
2023-11-25,519.877129680368,509.119572120245
2023-11-26,445.382538358896,434.263547331288
2023-11-27,362.009330628834,353.453697233742
2023-11-28,325.594271705521,318.26563217546
2023-11-29,380.638105203068,371.830408242945
2023-11-30,504.026180415337,492.293692455215
2023-12-01,431.086692766258,422.169625903681
2023-12-02,421.927246249284,413.658993699182
2023-12-03,508.313823317791,498.374261567689
2023-12-04,499.170896236605,488.395679886503
2023-12-05,506.839607893047,496.388798699182
2023-12-06,456.815398366462,447.387084060123
2023-12-07,367.036929479141,359.279924372802
2023-12-08,410.197321586094,401.929069035992
2023-12-09,428.138261816769,419.545602110429
2023-12-10,435.051352555215,426.27185266135
2023-12-11,456.747611792025,446.483642885685
2023-12-12,311.78119180184,306.069176470552
2023-12-13,147.038182638753,143.833131117464
2023-12-14,187.182357261779,183.790465452965
2023-12-15,374.707634855419,366.252542017791
2023-12-16,504.223843767689,494.284282017587
2023-12-17,486.20286985501,476.263308104908
2023-12-18,481.611896248875,471.672334498773
2023-12-19,455.764136935583,446.335822629243
2023-12-20,374.015813072188,365.423153365849
2023-12-21,351.434625816564,343.677620710225
2023-12-22,296.827702451738,290.28003262045
2023-12-23,160.330616176585,156.801157499059
2023-12-24,143.469703960143,139.940245282618
2023-12-25,202.135846561881,196.561398109305
2023-12-26,369.584906930061,362.152308979959
2023-12-27,476.873102386299,466.933540636196
2023-12-28,375.646108521268,367.751536546217
2023-12-29,338.665686930061,331.233088979959
2023-12-30,470.963993379755,461.024431629652
2023-12-31,417.303518660123,408.710858953783
